image,readingText,audio,answerText,answerTextFurigana,sortOrder,originalText
"<img src=""https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/Sword%20Art%20Online/media/SwordArtOnlineS01E_09_0.17.29.819.jpg"">",分かってりゃ　もう公開してる,[sound:https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/Sword%20Art%20Online/media/SwordArtOnlineS01E_09_0.17.28.672-0.17.30.966.mp3],"If I knew, I'd have told everyone.",分[わ]かってりゃ　もう 公開[こうかい]してる,3186,公開
"<img src=""https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/Death%20Note/media/A_DeathNote_03_0.01.44.695.jpg"">",もう公開捜査に踏み切るべきでは？,[sound:https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/Death%20Note/media/A_DeathNote_03_0.01.43.420-0.01.45.970.mp3],Should we go ahead and open a criminal investigation?,もう 公開捜査[こうかいそうさ]に 踏み切[ふみき]るべきでは？,3186,公開
"<img src=""https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/Assassination%20Classroom%20Season%201/media/A_Assassination_classroom_E17_1_0.12.07.285.jpg"">",千葉龍之介,[sound:https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/Assassination%20Classroom%20Season%201/media/A_Assassination_classroom_E17_1_0.12.06.570-0.12.08.000.mp3],Chiba Ryuunosuke.,千葉[ちば] 龍之介[りゅうのすけ],7534,千葉
"<img src=""https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/Psycho%20Pass/media/A_PsychoPassS01_E09_1_0.09.14.280.jpg"">",千葉県出身かな,[sound:https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/Psycho%20Pass/media/A_PsychoPassS01_E09_1_0.09.13.630-0.09.14.930.mp3],Are you from Chiba prefecture?,千葉県[ちばけん] 出身[しゅっしん]かな,7534,千葉
"<img src=""https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/Assassination%20Classroom%20Season%201/media/A_Assassination_classroom_E09_1_0.15.28.820.jpg"">",王手です　千葉君,[sound:https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/Assassination%20Classroom%20Season%201/media/A_Assassination_classroom_E09_1_0.15.28.020-0.15.29.620.mp3],"Check, Chiba-kun.",王手[おうて]です　 千葉[ちば] 君[きみ],7534,千葉
"<img src=""https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/The%20Wind%20Rises/media/A_TheWindRises_1_0.49.41.810.jpg"">",ドイツ工業技術の結晶だ,[sound:https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/The%20Wind%20Rises/media/A_TheWindRises_1_0.49.40.540-0.49.43.080.mp3],A triumph of German industrial technology.,ドイツ 工業技術[こうぎょうぎじゅつ]の 結晶[けっしょう]だ,3193,工業
"<img src=""https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/No%20Game%20No%20Life/media/A_NoGameNoLife__07_0.10.54.812.jpg"">",どれだけ酪農と工業が できると思う？,[sound:https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/No%20Game%20No%20Life/media/A_NoGameNoLife__07_0.10.53.498-0.10.56.126.mp3],we could build if we had that territory?,どれだけ 酪農[らくのう]と 工業[こうぎょう]ができると 思[おも]う？,3193,工業
"<img src=""https://us-southeast-1.linodeobjects.com/immersionkit/media/drama/Legal%20High%20Season%201/media/Legal_High_05_0.08.52.280.jpg"">",花林工業からの献金を示すと 思われる　メモです。,[sound:https://us-southeast-1.linodeobjects.com/immersionkit/media/drama/Legal%20High%20Season%201/media/Legal_High_05_0.08.50.730-0.08.53.830.mp3],A memo that seemed to indicate a donation from Hanabayashi Industries.,花林[かりん] 工業[こうぎょう]からの 献金[けんきん]を 示[しめ]すと  思[おも]われる　メモです。,3193,工業
"<img src=""https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/Fairy%20Tail/media/Fairy_Tail_100_0.05.53.188.jpg"">",最終奥義…,[sound:https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/Fairy%20Tail/media/Fairy_Tail_100_0.05.52.374-0.05.54.001.mp3],Ultimate Secret Technique:,最終[さいしゅう] 奥義[おうぎ]…,3170,最終
"<img src=""https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/Fairy%20Tail/media/Fairy_Tail_175_0.16.18.708.jpg"">",最終戦か…,[sound:https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/Fairy%20Tail/media/Fairy_Tail_175_0.16.17.707-0.16.19.709.mp3],"The final battle, huh?",最終戦[さいしゅうせん]か…,3170,最終
"<img src=""https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/Assassination%20Classroom%20Season%201/media/A_Assassination_classroom_E19_1_0.05.44.620.jpg"">",最終確認です,[sound:https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/Assassination%20Classroom%20Season%201/media/A_Assassination_classroom_E19_1_0.05.43.910-0.05.45.330.mp3],Final check:,最終[さいしゅう] 確認[かくにん]です,3170,最終
"<img src=""https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/Haruhi%20Suzumiya/media/Z.SUZUMIYA_12_0.20.09.187.jpg"">",山を下った俺たちは 私鉄のローカル線に乗り,[sound:https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/Haruhi%20Suzumiya/media/Z.SUZUMIYA_12_0.20.07.467-0.20.11.026.mp3],"After we came down the mountain, we got on a private local line",山[やま]を 下[くだ]った 俺[おれ]たちは  私鉄[してつ]の ローカル 線[せん]に 乗[の]り,3717,私鉄
"<img src=""https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/Demon%20Slayer%20-%20Kimetsu%20no%20Yaiba/media/Kimetsu_no_Yaiba_20_0.05.46.085.jpg"">",拾壱ノ型？,[sound:https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/Demon%20Slayer%20-%20Kimetsu%20no%20Yaiba/media/Kimetsu_no_Yaiba_20_0.05.45.080-0.05.46.940.mp3],Eleventh Form?,拾[じつ] 壱[いち]ノ 型[かた]？,796,拾
"<img src=""https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/Fullmetal%20Alchemist%20Brotherhood/media/A_FullmetalAlchemistBrotherhood_18_0.07.36.475.jpg"">",じっ　人体錬成,[sound:https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/Fullmetal%20Alchemist%20Brotherhood/media/A_FullmetalAlchemistBrotherhood_18_0.07.35.690-0.07.37.260.mp3],H-Human transmutation?!,じっ　 人体[じんたい] 錬成[れんせい],796,拾
"<img src=""https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/Erased/media/A_Erased_11_0.06.09.955.jpg"">",じゅう…ご…ね…,[sound:https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/Erased/media/A_Erased_11_0.06.08.320-0.06.11.590.mp3],Fif... teen... years...,じゅう…ご…ね…,796,拾
"<img src=""https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/Wandering%20Witch%20The%20Journey%20of%20Elaina/media/WanderingWitch_05_0.17.26.340.jpg"">",働く？,[sound:https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/Wandering%20Witch%20The%20Journey%20of%20Elaina/media/WanderingWitch_05_0.17.25.860-0.17.26.820.mp3],Work?,働[はたら]く？,809,働
"<img src=""https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/Castle%20in%20the%20sky/media/A_CastleInTheSky_1_1.5.04.150.jpg"">",働きます,[sound:https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/Castle%20in%20the%20sky/media/A_CastleInTheSky_1_1.5.03.540-1.5.04.760.mp3],We'll work.,働[はたら]きます,809,働
"<img src=""https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/Fairy%20Tail/media/Fairy_Tail_049_0.05.37.633.jpg"">",働けば？,[sound:https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/Fairy%20Tail/media/Fairy_Tail_049_0.05.37.007-0.05.38.258.mp3],How about working?,働[はたら]けば？,809,働
"<img src=""https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/Nisekoi/media/Nisekoi_S2_-_02_0.12.40.947-0.12.43.869.jpg"">",この勝負　私に利がある,[sound:https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/Nisekoi/media/Nisekoi_S2_-_02_0.12.40.947-0.12.43.869.mp3],I have the edge here!,この 勝負[しょうぶ]　 私[わたし]に 利[り]がある,786,利
"<img src=""https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/Kino's%20Journey/media/Kino_no_Tabi_8_0.10.45.900.jpg"">",その後　何かと利があるでしょう,[sound:https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/Kino's%20Journey/media/Kino_no_Tabi_8_0.10.44.470-0.10.47.330.mp3],That'll be advantageous later.,その 後[あと]　 何[なん]かと 利[り]があるでしょう,786,利
"<img src=""https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/Wandering%20Witch%20The%20Journey%20of%20Elaina/media/WanderingWitch_05_0.06.17.865.jpg"">",さすが 地の利は 向こうにありますね,[sound:https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/Wandering%20Witch%20The%20Journey%20of%20Elaina/media/WanderingWitch_05_0.06.16.070-0.06.19.660.mp3],They do have the advantage of knowing the lay of the land.,さすが  地[ち]の 利[り]は  向[む]こうにありますね,786,利
"<img src=""https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/Fullmetal%20Alchemist%20Brotherhood/media/A_FullmetalAlchemistBrotherhood_09_0.21.18.840.jpg"">",ご老人　あなたは,[sound:https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/Fullmetal%20Alchemist%20Brotherhood/media/A_FullmetalAlchemistBrotherhood_09_0.21.17.640-0.21.20.040.mp3],Sir... you are...,ご 老人[ろうじん]　あなたは,3254,老人
"<img src=""https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/Fate%20Zero/media/Fate_Zero_01_0.26.41.885.jpg"">",あそこの老人も必死だな,[sound:https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/Fate%20Zero/media/Fate_Zero_01_0.26.40.770-0.26.43.000.mp3],That old man must be desperate.,あそこの 老人[ろうじん]も 必死[ひっし]だな,3254,老人
"<img src=""https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/Kino's%20Journey/media/Kino_no_Tabi_1_0.17.53.790.jpg"">",レーゲルという名の老人さ,[sound:https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/Kino's%20Journey/media/Kino_no_Tabi_1_0.17.52.120-0.17.55.460.mp3],An old man named Regel.,レーゲルという 名[な]の 老人[ろうじん]さ,3254,老人
"<img src=""https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/Chobits/media/Chobits_19_0.23.58.140-0.23.58.920.jpg"">",便利で,[sound:https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/Chobits/media/Chobits_19_0.23.58.140-0.23.58.920.mp3],"They can do anything, are useful, are pretty...",便利[べんり]で,3268,便利
"<img src=""https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/Assassination%20Classroom%20Season%201/media/A_Assassination_classroom_E09_1_0.22.53.120.jpg"">",律　便利,[sound:https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/Assassination%20Classroom%20Season%201/media/A_Assassination_classroom_E09_1_0.22.52.340-0.22.53.900.mp3],"You sure are handy, Ritsu!",律[りつ]　 便利[べんり],3268,便利
"<img src=""https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/The%20Cat%20Returns/media/A_NekonoOngaesh_1_0.48.16.220.jpg"">",これは便利だ,[sound:https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/The%20Cat%20Returns/media/A_NekonoOngaesh_1_0.48.15.800-0.48.16.640.mp3],Very convenient.,これは 便利[べんり]だ,3268,便利
"<img src=""https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/Death%20Note/media/A_DeathNote_02_0.17.54.910.jpg"">",流河,[sound:https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/Death%20Note/media/A_DeathNote_02_0.17.54.390-0.17.55.430.mp3],Ryuga.,流[ながれ] 河[かわ],818,流
"<img src=""https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/Fairy%20Tail/media/Fairy_Tail_038_0.08.40.649.jpg"">",無月流…,[sound:https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/Fairy%20Tail/media/Fairy_Tail_038_0.08.39.835-0.08.41.462.mp3],New Moon School.,無月[むげつ] 流[りゅう]…,818,流
"<img src=""https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/Death%20Note/media/A_DeathNote_07_0.09.40.570.jpg"">",流河旱樹です,[sound:https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/Death%20Note/media/A_DeathNote_07_0.09.39.740-0.09.41.400.mp3],I'm Ryuga Hideki.,流[ながれ] 河[かわ] 旱[ひでり] 樹[じゅ]です,818,流
"<img src=""https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/Hunter%20×%20Hunter/media/HUNTER×HUNTER_47_0.03.18.993.jpg"">",クルタ族。,[sound:https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/Hunter%20×%20Hunter/media/HUNTER×HUNTER_47_0.03.17.992-0.03.19.994.mp3],The Kurta.,クルタ 族[ぞく]。,830,族
"<img src=""https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/Fairy%20Tail/media/Fairy_Tail_063_0.18.26.962.jpg"">",ニルビット族だ,[sound:https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/Fairy%20Tail/media/Fairy_Tail_063_0.18.26.149-0.18.27.775.mp3],The Nirvit.,ニルビット 族[ぞく]だ,830,族
"<img src=""https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/Hunter%20×%20Hunter/media/HUNTER×HUNTER_42_0.18.03.141.jpg"">",私は　クルタ族だ。,[sound:https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/Hunter%20×%20Hunter/media/HUNTER×HUNTER_42_0.18.01.606-0.18.04.676.mp3],I am a Kurta.,私[わたし]は　クルタ 族[ぞく]だ。,830,族
"<img src=""https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/Hyouka/media/Hyouka_21_0.11.35.430-0.11.36.250.jpg"">",工作員,[sound:https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/Hyouka/media/Hyouka_21_0.11.35.430-0.11.36.250.mp3],Crafts guy?,工作員[こうさくいん],821,員
"<img src=""https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/Chobits/media/Chobits_03_0.15.04.490-0.15.05.690.jpg"">",うちの従業員が,[sound:https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/Chobits/media/Chobits_03_0.15.04.490-0.15.05.690.mp3],Our employee thought you were our new part-time guy.,うちの 従業員[じゅうぎょういん]が,821,員
"<img src=""https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/Clannad/media/A_ClannadS01_E10_1_0.05.11.000.jpg"">",演劇部員の勧誘？,[sound:https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/Clannad/media/A_ClannadS01_E10_1_0.05.10.250-0.05.11.750.mp3],Recruit members?,演劇[えんげき] 部員[ぶいん]の 勧誘[かんゆう]？,821,員
"<img src=""https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/Fairy%20Tail/media/Fairy_Tail_098_0.06.38.030.jpg"">",“運”って…,[sound:https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/Fairy%20Tail/media/Fairy_Tail_098_0.06.37.300-0.06.38.760.mp3],Luck?!,“ 運[うん]”って…,3950,運
"<img src=""https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/Fairy%20Tail/media/Fairy_Tail_098_0.20.44.063.jpg"">",運がいいねえ,[sound:https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/Fairy%20Tail/media/Fairy_Tail_098_0.20.43.103-0.20.45.022.mp3],"Lucky them, huh?",運[うん]がいいねえ,3950,運
"<img src=""https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/Fairy%20Tail/media/Fairy_Tail_110_0.18.53.223.jpg"">",私は運がいい,[sound:https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/Fairy%20Tail/media/Fairy_Tail_110_0.18.52.430-0.18.54.015.mp3],I am lucky.,私[わたし]は 運[うん]がいい,3950,運
"<img src=""https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/Noragami/media/A_Noragami_E03_1_0.03.20.975.jpg"">",布教活動,[sound:https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/Noragami/media/A_Noragami_E03_1_0.03.20.540-0.03.21.410.mp3],Missionary work!,布教[ふきょう] 活動[かつどう],8748,活動
"<img src=""https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/K-On!/media/A_KOn_S01E09_1_0.13.43.468.jpg"">",活動計画？,[sound:https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/K-On!/media/A_KOn_S01E09_1_0.13.42.808-0.13.44.128.mp3],A schedule?,活動[かつどう] 計画[けいかく]？,8748,活動
"<img src=""https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/The%20Pet%20Girl%20of%20Sakurasou/media/Sakurasou_no_Pet_na_Kanojo_21_0.15.22.220.jpg"">",でも　署名活動が,[sound:https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/The%20Pet%20Girl%20of%20Sakurasou/media/Sakurasou_no_Pet_na_Kanojo_21_0.15.21.300-0.15.23.140.mp3],But what about the petition?,でも　 署名[しょめい] 活動[かつどう]が,8748,活動
"<img src=""https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/Hyouka/media/2_0.03.41.390-0.03.43.210.jpg"">",一年に二回植えるやつか,[sound:https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/Hyouka/media/2_0.03.41.390-0.03.43.210.mp3],When you plant two crops in the same field?,一[いち] 年[ねん]に 二[に] 回[かい] 植[う]えるやつか,7748,植える
"<img src=""https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/Cardcaptor%20Sakura/media/A_CardCaptorSakura24_24_0.11.20.086.jpg"">",これ　お父さんと植えた花だ,[sound:https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/Cardcaptor%20Sakura/media/A_CardCaptorSakura24_24_0.11.18.981-0.11.21.191.mp3],These are the flowers I planted with Dad.,これ　お 父[とう]さんと 植[う]えた 花[はな]だ,7748,植える
"<img src=""https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/Fate%20Zero/media/Fate_Zero_01_0.13.26.535.jpg"">",俺に「刻印虫」を植え付けろ,[sound:https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/Fate%20Zero/media/Fate_Zero_01_0.13.25.210-0.13.27.860.mp3],Implant Crest Worms inside me.,俺[おれ]に「 刻印[こくいん] 虫[ちゅう]」を 植え付[うえつ]けろ,7748,植える
"<img src=""https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/Chobits/media/Chobits_09_0.13.52.580-0.13.53.840.jpg"">",期間は短期,[sound:https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/Chobits/media/Chobits_09_0.13.52.580-0.13.53.840.mp3],--A short-term job that isn't sketchy is the condition.  --You have to be careful here with &quot;tamae&quot;...,期間[きかん]は 短期[たんき],7691,期間
"<img src=""https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/Assassination%20Classroom%20Season%201/media/A_Assassination_classroom_E10_1_0.05.54.890.jpg"">",期間はあした一日,[sound:https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/Assassination%20Classroom%20Season%201/media/A_Assassination_classroom_E10_1_0.05.54.020-0.05.55.760.mp3],You have all of tomorrow.,期間[きかん]はあした一 日[にち],7691,期間
"<img src=""https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/Fairy%20Tail/media/Fairy_Tail_154_0.00.08.011.jpg"">",大事な修行期間が…,[sound:https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/Fairy%20Tail/media/Fairy_Tail_154_0.00.06.905-0.00.09.116.mp3],Our precious training time...,大事[だいじ]な 修行[しゅぎょう] 期間[きかん]が…,7691,期間
"<img src=""https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/Fairy%20Tail/media/Fairy_Tail_128_0.17.05.545.jpg"">",そ… 想定外,[sound:https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/Fairy%20Tail/media/Fairy_Tail_128_0.17.04.794-0.17.06.295.mp3],This wasn't in the plan!,そ…  想定外[そうていがい],7694,想定
"<img src=""https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/Is%20The%20Order%20a%20Rabbit/media/Is_The_Order_a_Rabbit_S03_-_04_0.13.43.420-0.13.44.990.jpg"">",想定内の事態だ,[sound:https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/Is%20The%20Order%20a%20Rabbit/media/Is_The_Order_a_Rabbit_S03_-_04_0.13.43.420-0.13.44.990.mp3],We were born ready for this!,想定内[そうていない]の 事態[じたい]だ,7694,想定
"<img src=""https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/Code%20Geass%20Season%201/media/A_Code_GeassS01_02_0.17.36.940.jpg"">",想定以上の数値です,[sound:https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/Code%20Geass%20Season%201/media/A_Code_GeassS01_02_0.17.36.140-0.17.37.740.mp3],These numbers are above what we assumed it would be.,想定[そうてい] 以上[いじょう]の 数値[すうち]です,7694,想定
"<img src=""https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/Fairy%20Tail/media/Fairy_Tail_108_0.10.58.070.jpg"">",例の魔法…,[sound:https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/Fairy%20Tail/media/Fairy_Tail_108_0.10.57.194-0.10.58.946.mp3],That magic of his...,例[れい]の 魔法[まほう]…,896,例
"<img src=""https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/Code%20Geass%20Season%201/media/A_Code_GeassS01_21_0.03.34.020.jpg"">",例の件ですけど,[sound:https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/Code%20Geass%20Season%201/media/A_Code_GeassS01_21_0.03.33.370-0.03.34.670.mp3],About what we were saying earlier...,例の件[れいのけん]ですけど,896,例
"<img src=""https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/Fairy%20Tail/media/Fairy_Tail_100_0.04.27.957.jpg"">",例の予知能力か,[sound:https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/Fairy%20Tail/media/Fairy_Tail_100_0.04.26.997-0.04.28.916.mp3],"Your power to see the future, is it?",例[れい]の 予知[よち] 能力[のうりょく]か,896,例
"<img src=""https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/Kanon%20(2006)/media/A_Kanon_E03_1_0.16.27.150.jpg"">",意地悪,[sound:https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/Kanon%20(2006)/media/A_Kanon_E03_1_0.16.26.500-0.16.27.800.mp3],You meanie.,意地悪[いじわる],8669,意地悪
"<img src=""https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/Cardcaptor%20Sakura/media/A_CardCaptorSakura22_1_0.22.07.622.jpg"">",意地悪！,[sound:https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/Cardcaptor%20Sakura/media/A_CardCaptorSakura22_1_0.22.06.809-0.22.08.435.mp3],Meanie!!,意地悪[いじわる]！,8669,意地悪
"<img src=""https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/Fairy%20Tail/media/Fairy_Tail_098_0.18.11.473.jpg"">",意地悪～！,[sound:https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/Fairy%20Tail/media/Fairy_Tail_098_0.18.10.451-0.18.12.494.mp3],You're so mean!,意地悪[いじわる] ～[〜]！,8669,意地悪
"<img src=""https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/Lucky%20Star/media/luckystar-nodup_18_0.19.42.310.jpg"">",あ、残ね～ん！　もうお別れの時間ですね！,[sound:https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/Lucky%20Star/media/luckystar-nodup_18_0.19.40.860-0.19.43.760.mp3],"Oh! What a shame, it's time to say goodbye.",あ、 残[ざん]ね～ん！　もうお 別[わか]れの 時間[じかん]ですね！,912,残
"<img src="""">",いまだに私の目に残つてゐるが、,[sound:https://us-southeast-1.linodeobjects.com/immersionkit/media/literature/Kurotabi/media/f000044.mp3],,いまだに私の目に残つてゐるが、,912,残
"<img src=""https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/Cardcaptor%20Sakura/media/A_CardCaptorSakura21_1_0.01.49.184.jpg"">",ラスト１周！,[sound:https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/Cardcaptor%20Sakura/media/A_CardCaptorSakura21_1_0.01.48.350-0.01.50.018.mp3],Last lap!,ラスト１ 周[しゅう]！,3663,一周
"<img src=""https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/Fairy%20Tail/media/Fairy_Tail_135_0.08.06.027.jpg"">",新婚旅行は 世界一周,[sound:https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/Fairy%20Tail/media/Fairy_Tail_135_0.08.04.838-0.08.07.215.mp3],"For your honeymoon, you'll go  on a 'round-the-world cruise!",新婚旅行[しんこんりょこう]は  世界[せかい] 一[いち] 周[しゅう],3663,一周
"<img src=""https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/Is%20The%20Order%20a%20Rabbit/media/Is_The_Order_a_Rabbit_S03_-_02_0.07.25.829-0.07.27.759.jpg"">",一周して帰ってこよう,[sound:https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/Is%20The%20Order%20a%20Rabbit/media/Is_The_Order_a_Rabbit_S03_-_02_0.07.25.829-0.07.27.759.mp3],Okay! I'll explain how this test of courage is gonna work!,一[いち] 周[しゅう]して 帰[かえ]ってこよう,3663,一周
"<img src=""https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/Haruhi%20Suzumiya/media/Z.SUZUMIYA_15_0.03.59.521.jpg"">",次元振動周期を位相変換し,[sound:https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/Haruhi%20Suzumiya/media/Z.SUZUMIYA_15_0.03.58.031-0.04.01.130.mp3],I modulated the phase of your dimensional vibratory cycle,次元[じげん] 振動[しんどう] 周期[しゅうき]を 位相[いそう] 変換[へんかん]し,7638,周期
"<img src=""https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/Fate%20Zero/media/Fate_Zero_01_0.12.11.690.jpg"">",六十年の周期が来年には巡り来る,[sound:https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/Fate%20Zero/media/Fate_Zero_01_0.12.09.810-0.12.13.570.mp3],"By next year, the sixty years will have elapsed.",六十 年[ねん]の 周期[しゅうき]が 来年[らいねん]には 巡[めぐ]り 来[く]る,7638,周期
"<img src=""https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/Haruhi%20Suzumiya/media/Z.SUZUMIYA_24_0.07.03.146.jpg"">",周期的に繰り返され 体は眠っているが,[sound:https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/Haruhi%20Suzumiya/media/Z.SUZUMIYA_24_0.07.01.573-0.07.04.839.mp3],They repeat in a cycle.,周期的[しゅうきてき]に 繰[く]り 返[かえ]され  体[からだ]は 眠[ねむ]っているが,7638,周期
"<img src=""https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/Wandering%20Witch%20The%20Journey%20of%20Elaina/media/WanderingWitch_09_0.11.06.400.jpg"">",約20分後,[sound:https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/Wandering%20Witch%20The%20Journey%20of%20Elaina/media/WanderingWitch_09_0.11.05.730-0.11.07.070.mp3],"In about twenty minutes,",約[やく]20 分[ふん] 後[ご],3719,約
